Year,Country,Gov,BC,PI,RPE,PR,CL,Urban,Fertility
2005,Mexico,8.0,1.2,987.4,0.5274,2.0,2.0,75.3622,2.6246
2010,Mexico,8.0,3.0,895.6666666666666,0.5414,2.0,2.0,76.91720000000001,2.4254
2000,Moldova,7.0,0.0,512.4,1.4326,2.8,2.8,45.7354,1.7052
2005,Moldova,7.8,0.0,137.4,1.178,2.6,2.6,43.7892,1.4836
2010,Moldova,9.0,0.0,0.0,1.4338,3.2,3.2,42.713,1.5976
2000,Mongolia,9.8,4.0,0.0,0.726,2.0,2.0,56.71419999999999,2.5082
2005,Mongolia,10.0,4.0,87.4,0.9358000000000001,2.0,2.0,59.29600000000001,2.1296
2010,Mongolia,10.0,2.2,125.0,0.9692000000000001,2.0,2.0,64.55080000000001,2.2868000000000004
2000,Morocco,-6.6,4.0,50.0,1.4598,5.0,5.0,52.3498,3.1098
2005,Morocco,-6.0,4.0,1250.0,1.394,5.0,5.0,53.989599999999996,2.6822
2010,Morocco,-6.0,0.0,336.0,1.5798,5.0,5.0,56.315,2.5608
2000,Mozambique,5.0,1.2,174.8,0.7992,3.0,3.0,28.341,5.8646
2005,Mozambique,5.0,0.0,25.0,0.7979999999999999,3.0,3.0,29.4574,5.7448
2010,Mozambique,5.0,0.0,354.0,0.8968,3.2,3.2,30.540999999999997,5.5754
2000,Namibia,6.0,8.2,0.0,1.7716,2.0,2.0,30.8276,4.210800000000001
2005,Namibia,6.0,4.6,0.0,1.4407999999999999,2.0,2.0,33.882400000000004,3.7434
2010,Namibia,6.0,0.2,0.0,1.5172,2.0,2.0,38.607600000000005,3.5694000000000004
2000,Nepal,5.2,8.8,2774.8,0.6514,3.0,3.0,11.852,4.418200000000001
2005,Nepal,-1.2,7.8,2287.2,0.6801999999999999,4.0,4.0,14.192599999999999,3.6129999999999995
2010,Nepal,3.6,7.0,541.6666666666666,0.7754000000000001,4.8,4.8,15.7862,2.8564
2000,Netherlands,10.0,0.0,162.4,1.1078,1.0,1.0,74.4364,1.58
2005,Netherlands,10.0,0.0,0.0,1.0192,1.0,1.0,79.11859999999999,1.7259999999999998
2010,Netherlands,10.0,0.0,312.6666666666667,0.9808,1.0,1.0,84.499,1.7420000000000002
2000,New Zealand,10.0,0.0,0.0,1.1305999999999998,1.0,1.0,85.7672,1.952
2005,New Zealand,10.0,0.0,0.0,1.0719999999999998,1.0,1.0,86.1568,1.95
2010,New Zealand,10.0,0.0,0.0,1.0654,1.0,1.0,86.31620000000001,2.096
2000,Nicaragua,8.0,0.0,25.0,0.8314,3.0,3.0,54.736599999999996,3.4850000000000003
2005,Nicaragua,8.0,0.0,212.4,0.8388,3.0,3.0,55.483799999999995,2.9522
2010,Nicaragua,8.6,0.0,83.33333333333333,0.9496,3.4,3.4,56.3282,2.6932
2000,Niger,0.4,4.8,0.0,0.5492,5.8,5.8,15.9376,7.7622
2005,Niger,5.2,7.4,400.0,0.712,3.8,3.8,16.2398,7.677200000000001
2010,Niger,4.2,4.4,625.0,0.8902000000000001,3.4,3.4,16.233600000000003,7.561
2000,Nigeria,-20.4,0.6,3149.6,0.4013999999999999,6.2,6.2,33.250800000000005,6.1558
2005,Nigeria,4.0,0.0,1312.4,0.7928,4.0,4.0,36.517,6.1198
2010,Nigeria,4.0,0.0,10988.333333333334,0.6826000000000001,4.4,4.4,40.8252,6.0692
2000,Norway,10.0,2.4,50.0,1.0054,1.0,1.0,74.5842,1.8560000000000003
2005,Norway,10.0,4.0,0.0,0.9454,1.0,1.0,76.7228,1.802
2010,Norway,10.0,2.2,0.0,0.8922000000000001,1.0,1.0,78.24,1.916
2000,Oman,-9.0,0.0,0.0,1.2798,6.0,6.0,71.62899999999999,4.6342
2005,Oman,-8.4,0.6,0.0,1.4492,6.0,6.0,71.5966,3.526
2010,Oman,-8.0,1.6,3.6666666666666665,1.4103999999999999,6.0,6.0,73.5196,2.886
2000,Pakistan,4.8,15.8,799.6,0.7984,4.4,4.4,32.3288,5.6415999999999995
2005,Pakistan,-5.4,13.0,1524.8,0.7194,6.0,6.0,33.3806,5.0043999999999995
2010,Pakistan,0.4,10.0,6031.666666666667,0.6564,5.2,5.2,34.3872,4.493
2000,Panama,9.0,4.0,175.0,0.682,1.8,1.8,59.8018,2.8096
2005,Panama,9.0,4.0,50.0,0.5496000000000001,1.0,1.0,62.7934,2.7064
